point_name,base_time,forecast_hour,valid_time,variable,value
부산,2026-04-07 20:00:00,54,2026-04-10 02:00:00,PCP,0.0
부산,2026-04-07 20:00:00,55,2026-04-10 03:00:00,PCP,0.0
부산,2026-04-07 20:00:00,56,2026-04-10 04:00:00,PCP,0.0
부산,2026-04-07 20:00:00,57,2026-04-10 05:00:00,PCP,0.0
부산,2026-04-07 20:00:00,58,2026-04-10 06:00:00,PCP,0.0
부산,2026-04-07 20:00:00,59,2026-04-10 07:00:00,PCP,0.0
부산,2026-04-07 20:00:00,60,2026-04-10 08:00:00,PCP,0.0
부산,2026-04-07 20:00:00,61,2026-04-10 09:00:00,PCP,0.0
부산,2026-04-07 20:00:00,62,2026-04-10 10:00:00,PCP,0.0
부산,2026-04-07 20:00:00,63,2026-04-10 11:00:00,PCP,0.0
부산,2026-04-07 20:00:00,64,2026-04-10 12:00:00,PCP,0.0
부산,2026-04-07 20:00:00,65,2026-04-10 13:00:00,PCP,0.0
부산,2026-04-07 20:00:00,66,2026-04-10 14:00:00,PCP,0.0
부산,2026-04-07 20:00:00,67,2026-04-10 15:00:00,PCP,0.0
부산,2026-04-07 20:00:00,70,2026-04-10 18:00:00,PCP,0.0
부산,2026-04-07 20:00:00,73,2026-04-10 21:00:00,PCP,0.0
부산,2026-04-07 20:00:00,76,2026-04-11 00:00:00,PCP,0.0
부산,2026-04-07 20:00:00,79,2026-04-11 03:00:00,PCP,0.0
부산,2026-04-07 20:00:00,82,2026-04-11 06:00:00,PCP,0.0
부산,2026-04-07 20:00:00,85,2026-04-11 09:00:00,PCP,0.0
부산,2026-04-07 20:00:00,88,2026-04-11 12:00:00,PCP,0.0
부산,2026-04-07 20:00:00,91,2026-04-11 15:00:00,PCP,0.0
