point_name,point_code,base_time,forecast_hour,valid_time,variable,value,forecast_type
설천봉,8000314,2026-05-10 20:00:00,22.0,2026-05-11 18:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,23.0,2026-05-11 19:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,24.0,2026-05-11 20:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,25.0,2026-05-11 21:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,26.0,2026-05-11 22:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,27.0,2026-05-11 23:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,28.0,2026-05-12 00:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,29.0,2026-05-12 01:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,30.0,2026-05-12 02:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,31.0,2026-05-12 03:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,32.0,2026-05-12 04:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,33.0,2026-05-12 05:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,34.0,2026-05-12 06:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,35.0,2026-05-12 07:00:00,PCP,2.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,36.0,2026-05-12 08:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,37.0,2026-05-12 09:00:00,PCP,9.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,38.0,2026-05-12 10:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,39.0,2026-05-12 11:00:00,PCP,0.0,SHRT
설천봉,8000314,2026-05-10 20:00:00,40.0,2026-05-12 12:00:00,PCP,0.0,SHRT
